==================================================================
Final Processed Results from ESNet RIB (not in CRIC)
==================================================================
AS Number  | Prefix                    | Organization/NetName
-----------+---------------------------+-----------------------------------------
137        | 193.206.186.128/27        | ASGARR Consortium GARR, IT
229        | 2001:48a8:68f7::/48       | MERIT-AS-6 - Merit Network Inc., US
271        | 209.87.0.0/24             | BCNET-5
271        | 209.87.1.0/24             | BCNET-5
271        | 2607:f8f0:16c0::/48       | NET-BCNET-V6
271        | 2607:f8f0:16c1::/48       | NET-BCNET-V6
766        | 147.156.52.0/23           | REDIRIS RedIRIS Autonomous System, ES
766        | 2001:720:1014:a052::/64   | REDIRIS RedIRIS Autonomous System, ES
1916       | 2001:12f0:500:400:ffff:ffff:3591:0/112 | Rede Nacional de Ensino e Pesquisa, BR
2091       | 134.158.158.0/23          | IN2P3 IN2P3 Autonomous System, EU
2091       | 134.158.78.0/24           | IN2P3 IN2P3 Autonomous System, EU
2091       | 2001:660:3024::/48        | FR-RENATER Reseau National de telecommunications pour la Technologie, FR
2091       | 2001:660:302c::/48        | FR-RENATER Reseau National de telecommunications pour la Technologie, FR
2091       | 2001:660:3036::/48        | FR-RENATER Reseau National de telecommunications pour la Technologie, FR
2107       | 153.5.84.176/28           | ARNES-NET Academic and Research Network of Slovenia, SI
2107       | 193.2.41.146/31           | ARNES-NET Academic and Research Network of Slovenia, SI
2107       | 2001:1470:8000:682::/64   | ARNES-NET Academic and Research Network of Slovenia, SI
2107       | 2001:1470:ff90::/48       | ARNES-NET Academic and Research Network of Slovenia, SI
2614       | 141.85.240.0/24           | ROEDUNET, RO
2614       | 193.231.25.224/27         | ROEDUNET, RO
2614       | 2001:b30:1900:1000::/64   | ROEDUNET, RO
2614       | 2001:b30:1900:224::/64    | ROEDUNET, RO
2614       | 2001:b30:800:311::/64     | ROEDUNET, RO
2614       | 2001:b30:800:f0f0::/64    | ROEDUNET, RO
2614       | 37.128.225.236/30         | ROEDUNET, RO
2715       | 2804:1f10:0:9696::/64     | Fundacao Carlos Chagas Filho de Amparo a Pesquisa, BR
2852       | 2001:718:401:6000::/52    | CESNET2, CZ
2907       | 133.11.254.136/30         | UTNET The University of Tokyo, JP
2907       | 133.11.254.140/30         | UTNET The University of Tokyo, JP
2907       | 134.75.208.112/30         | KREONet
2907       | 2001:2f8:3e:cc23::/64     | SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP
2907       | 2001:320:8300:203::/64    | KREONet
2907       | 202.13.223.200/29         | HEPNET-J High Energy Accelerator Research Organization, KEK, JP
2907       | 203.181.195.130/31        | APAN-JP Asia Pacific Advanced Network - Japan, JP
2907       | 2404:d540:1:591::/64      | UTNET The University of Tokyo, JP
2907       | 2404:d540:1:592::/64      | UTNET The University of Tokyo, JP
3314       | 148.6.216.0/21            | KFKI-AS IP networks of KFKI, HU
3314       | 148.6.8.0/21              | KFKI-AS IP networks of KFKI, HU
3314       | 2001:738:5001:fa::/64     | HBONE-AS KIFU, HU
3460       | 202.122.32.232/29         | CSTNET-AS-AP Computer Network Information Center of Chinese Academy of Sciences CNIC-CAS, CN
3460       | 2401:de00:2:1069::/64     | CSTNET-AS-AP Computer Network Information Center of Chinese Academy of Sciences CNIC-CAS, CN
3460       | 2401:de00:2:35::/64       | CSTNET-AS-AP Computer Network Information Center of Chinese Academy of Sciences CNIC-CAS, CN
5078       | 156.110.31.128/29         | ONENET-AS-1 - Oklahoma Network for Education Enrichment and, US
7212       | 192.111.110.80/28         | VANDERBILT - Vanderbilt University, US
7660       | 2001:200:e000:107::130/127 | APAN-JP Asia Pacific Advanced Network - Japan, JP
7660       | 2001:200:e000:107::134/127 | APAN-JP Asia Pacific Advanced Network - Japan, JP
